STATION,NAME,DATE,PRCP,TMAX,TMIN
FIE00142226,"HELSINKI KUMPULA, FI",20160601,0.0,74,55
FIE00142226,"HELSINKI KUMPULA, FI",20160602,0.56,81,55
FIE00142226,"HELSINKI KUMPULA, FI",20160603,0.0,78,56
FIE00142226,"HELSINKI KUMPULA, FI",20160604,0.0,71,51
FIE00142226,"HELSINKI KUMPULA, FI",20160605,0.01,58,43
FIE00142226,"HELSINKI KUMPULA, FI",20160606,0.0,60,43
FIE00142226,"HELSINKI KUMPULA, FI",20160607,0.22,65,46
FIE00142226,"HELSINKI KUMPULA, FI",20160608,0.11,60,53
FIE00142226,"HELSINKI KUMPULA, FI",20160609,0.0,54,46
FIE00142226,"HELSINKI KUMPULA, FI",20160610,0.01,56,43
FIE00142226,"HELSINKI KUMPULA, FI",20160611,0.0,62,42
FIE00142226,"HELSINKI KUMPULA, FI",20160612,0.0,64,46
FIE00142226,"HELSINKI KUMPULA, FI",20160613,0.0,68,47
FIE00142226,"HELSINKI KUMPULA, FI",20160614,0.0,68,48
FIE00142226,"HELSINKI KUMPULA, FI",20160615,0.35,70,49
FIE00142226,"HELSINKI KUMPULA, FI",20160616,1.81,67,56
FIE00142226,"HELSINKI KUMPULA, FI",20160617,1.22,71,56
FIE00142226,"HELSINKI KUMPULA, FI",20160618,0.63,63,54
FIE00142226,"HELSINKI KUMPULA, FI",20160619,0.03,59,54
FIE00142226,"HELSINKI KUMPULA, FI",20160620,0.0,69,54
FIE00142226,"HELSINKI KUMPULA, FI",20160621,0.0,71,50
FIE00142226,"HELSINKI KUMPULA, FI",20160622,0.0,70,55
FIE00142226,"HELSINKI KUMPULA, FI",20160623,0.05,67,55
FIE00142226,"HELSINKI KUMPULA, FI",20160624,0.02,69,57
FIE00142226,"HELSINKI KUMPULA, FI",20160625,0.0,75,58
FIE00142226,"HELSINKI KUMPULA, FI",20160626,0.0,78,60
FIE00142226,"HELSINKI KUMPULA, FI",20160627,0.63,70,58
FIE00142226,"HELSINKI KUMPULA, FI",20160628,0.0,73,56
FIE00142226,"HELSINKI KUMPULA, FI",20160629,0.0,73,60
FIE00142226,"HELSINKI KUMPULA, FI",20160630,0.0,73,60
