USAF,YR--MODAHRMN,DIR,SPD,GUS,TEMP,MAX,MIN
28750,201501010020,230.0,7.0,,37.0,,
28750,201501010050,230.0,8.0,,37.0,,
28750,201501010120,260.0,11.0,,37.0,,
28750,201501010150,270.0,13.0,,39.0,,
28750,201501010220,260.0,11.0,,39.0,,
28750,201501010250,260.0,13.0,,39.0,,
28750,201501010320,260.0,11.0,,39.0,,
28750,201501010350,240.0,9.0,,39.0,,
28750,201501010450,240.0,9.0,,41.0,,
28750,201501010520,250.0,10.0,,41.0,,
28750,201501010550,240.0,11.0,,41.0,,
28750,201501010620,240.0,11.0,,39.0,,
28750,201501010650,230.0,11.0,,41.0,,
28750,201501010720,230.0,9.0,,39.0,,
28750,201501010750,240.0,11.0,,39.0,,
28750,201501010820,240.0,13.0,,39.0,,
28750,201501010850,230.0,10.0,,39.0,,
28750,201501010920,990.0,8.0,,39.0,,
28750,201501010950,230.0,9.0,,39.0,,
28750,201501011020,240.0,9.0,,39.0,,
28750,201501011050,990.0,8.0,,39.0,,
28750,201501011120,230.0,8.0,,37.0,,
28750,201501011150,220.0,7.0,,37.0,,
28750,201501011220,220.0,8.0,,36.0,,
28750,201501011250,230.0,8.0,,37.0,,
28750,201501011320,990.0,3.0,,36.0,,
28750,201501011350,990.0,6.0,,37.0,,
28750,201501011420,230.0,6.0,,36.0,,
28750,201501011450,240.0,9.0,,36.0,,
28750,201501011520,240.0,7.0,,36.0,,
28750,201501011550,990.0,6.0,,36.0,,
28750,201501011620,240.0,6.0,,36.0,,
28750,201501011650,240.0,8.0,,36.0,,
28750,201501011720,240.0,8.0,,36.0,,
28750,201501011750,230.0,7.0,,36.0,,
28750,201501011820,210.0,6.0,,36.0,,
28750,201501011850,990.0,7.0,,36.0,,
28750,201501011920,220.0,7.0,,36.0,,
28750,201501011950,220.0,7.0,,36.0,,
28750,201501012020,990.0,8.0,,37.0,,
28750,201501012050,220.0,9.0,,36.0,,
28750,201501012120,200.0,6.0,,36.0,,
28750,201501012150,210.0,7.0,,36.0,,
28750,201501012220,220.0,8.0,,36.0,,
28750,201501012250,990.0,9.0,,36.0,,
28750,201501012320,990.0,8.0,,36.0,,
28750,201501012350,220.0,8.0,,36.0,,
28750,201501020020,230.0,9.0,,36.0,,
28750,201501020050,230.0,10.0,,36.0,,
28750,201501020120,230.0,9.0,,36.0,,
28750,201501020150,210.0,8.0,,34.0,,
28750,201501020220,220.0,8.0,,34.0,,
28750,201501020250,200.0,7.0,,34.0,,
28750,201501020320,180.0,7.0,,34.0,,
28750,201501020350,180.0,7.0,,34.0,,
28750,201501020420,190.0,8.0,,34.0,,
28750,201501020450,170.0,7.0,,34.0,,
28750,201501020520,170.0,9.0,,34.0,,
28750,201501020550,180.0,8.0,,34.0,,
28750,201501020620,160.0,9.0,,34.0,,
28750,201501020650,150.0,13.0,,34.0,,
28750,201501020720,150.0,15.0,,34.0,,
28750,201501020750,140.0,14.0,,34.0,,
28750,201501020820,130.0,14.0,,32.0,,
28750,201501020850,120.0,15.0,,32.0,,
28750,201501020920,140.0,14.0,,32.0,,
28750,201501020950,130.0,14.0,,32.0,,
28750,201501021020,140.0,15.0,,32.0,,
28750,201501021050,130.0,16.0,,32.0,,
28750,201501021120,110.0,13.0,,34.0,,
28750,201501021150,110.0,14.0,,34.0,,
28750,201501021250,100.0,11.0,,32.0,,
28750,201501021320,100.0,9.0,,32.0,,
28750,201501021350,990.0,8.0,,32.0,,
28750,201501021420,990.0,9.0,,32.0,,
28750,201501021450,990.0,8.0,,32.0,,
28750,201501021520,990.0,8.0,,32.0,,
28750,201501021550,990.0,8.0,,32.0,,
28750,201501021650,990.0,7.0,,32.0,,
28750,201501021720,990.0,6.0,,32.0,,
28750,201501021750,990.0,6.0,,32.0,,
28750,201501021820,990.0,6.0,,32.0,,
28750,201501021850,990.0,6.0,,32.0,,
28750,201501021920,990.0,6.0,,32.0,,
28750,201501022020,990.0,6.0,,32.0,,
28750,201501022050,990.0,6.0,,32.0,,
28750,201501022120,30.0,6.0,,32.0,,
28750,201501022150,990.0,6.0,,32.0,,
28750,201501022220,990.0,6.0,,32.0,,
28750,201501022250,990.0,6.0,,32.0,,
28750,201501022320,990.0,7.0,,32.0,,
28750,201501022350,990.0,7.0,,32.0,,
28750,201501030020,990.0,6.0,,32.0,,
28750,201501030050,990.0,8.0,,32.0,,
28750,201501030120,990.0,7.0,,32.0,,
28750,201501030220,990.0,8.0,,32.0,,
28750,201501030250,990.0,8.0,,32.0,,
28750,201501030320,990.0,7.0,,32.0,,
28750,201501030350,990.0,8.0,,32.0,,
28750,201501030420,990.0,8.0,,32.0,,
28750,201501030450,990.0,9.0,,32.0,,
28750,201501030520,990.0,9.0,,32.0,,
28750,201501030550,990.0,10.0,,32.0,,
28750,201501030620,20.0,11.0,,32.0,,
28750,201501030650,990.0,15.0,,30.0,,
28750,201501030720,30.0,14.0,,30.0,,
28750,201501030750,30.0,14.0,,28.0,,
28750,201501030820,990.0,11.0,,28.0,,
28750,201501030850,990.0,14.0,,28.0,,
28750,201501030920,990.0,13.0,,27.0,,
28750,201501030950,990.0,13.0,,27.0,,
28750,201501031020,20.0,14.0,,27.0,,
28750,201501031050,990.0,10.0,,27.0,,
